Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/27/2021 06:59:42;02/28/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.759;98.945.258.828;126.800;-65.648;"0° 57' 14.35"" S";"100° 21' 47.21"" E";61.152;-11.471.800.617;62.732.357.019;-1.054.814.960;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/28/2021 06:59:42;03/01/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.090;98.945.259.950;127.369;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.721;-11.471.800.064;62.732.357.718;-1.054.813.848;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/01/2021 06:59;03/02/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.724;98.945.260.427;128.494;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.846;-11.471.800.891;62.732.358.718;-1.054.813.389;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/02/2021 06:59;03/03/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.745;98.945.262.035;133.291;-65.648;"0° 57' 14.33"" S";"100° 21' 47.20"" E";67.642;-11.471.798.828;62.732.363.998;-1.054.811.862;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/03/2021 06:59;03/04/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.920;98.945.259.356;129.325;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";63.677;-11.471.799.263;62.732.359.842;-1.054.814.476;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/04/2021 06:59;03/05/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.820;98.945.260.173;130.057;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.409;-11.471.800.282;62.732.360.414;-1.054.813.670;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/05/2021 06:59;03/06/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.630;98.945.260.484;128.236;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.588;-11.471.799.769;62.732.358.662;-1.054.813.329;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/06/2021 06:59;03/07/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.238;98.945.261.623;130.918;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";65.271;-11.471.800.852;62.732.361.210;-1.054.812.235;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/07/2021 06:59;03/08/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.820;98.945.260.378;125.711;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";60.063;-11.471.798.517;62.732.356.323;-1.054.813.393;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/08/2021 06:59;03/09/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.732;98.945.261.776;126.172;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.525;-11.471.799.501;62.732.356.636;-1.054.812.003;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/09/2021 06:59;03/10/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.716;98.945.260.923;125.666;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.018;-11.471.799.392;62.732.356.126;-1.054.812.847;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/10/2021 06:59;03/11/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.970;98.945.261.785;129.105;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";63.457;-11.471.801.246;62.732.359.297;-1.054.812.042;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;03/11/2021 06:59;03/12/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.108;98.945.260.629;127.378;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.730;-11.471.799.101;62.732.357.915;-1.054.813.170;-;-;-;-;0.0000
